 *********************************************************************
             E=    -0.500 theoretical n=     1.000
 *********************************************************************
              r   wave func(r)
      0.274E+01      0.989E-02     -0.628E-02
      0.275E+01      0.981E-02     -0.625E-02
      0.277E+01      0.973E-02     -0.621E-02
      0.278E+01      0.965E-02     -0.618E-02
      0.279E+01      0.958E-02     -0.614E-02
      0.280E+01      0.950E-02     -0.611E-02
      0.282E+01      0.942E-02     -0.608E-02
      0.283E+01      0.935E-02     -0.604E-02
      0.284E+01      0.927E-02     -0.601E-02
      0.285E+01      0.920E-02     -0.597E-02
      0.287E+01      0.912E-02     -0.594E-02
      0.288E+01      0.905E-02     -0.590E-02
      0.289E+01      0.897E-02     -0.587E-02
      0.290E+01      0.890E-02     -0.584E-02
      0.292E+01      0.883E-02     -0.580E-02
      0.293E+01      0.876E-02     -0.577E-02
      0.294E+01      0.868E-02     -0.573E-02
      0.295E+01      0.861E-02     -0.570E-02
      0.297E+01      0.854E-02     -0.566E-02
      0.298E+01      0.847E-02     -0.563E-02
      0.299E+01      0.840E-02     -0.559E-02
      0.300E+01      0.833E-02     -0.556E-02
      0.302E+01      0.826E-02     -0.552E-02
      0.303E+01      0.819E-02     -0.549E-02
      0.304E+01      0.812E-02     -0.545E-02
      0.305E+01      0.806E-02     -0.542E-02
      0.307E+01      0.799E-02     -0.538E-02
      0.308E+01      0.792E-02     -0.535E-02
      0.309E+01      0.785E-02     -0.531E-02
      0.310E+01      0.779E-02     -0.528E-02
      0.312E+01      0.772E-02     -0.524E-02
      0.313E+01      0.766E-02     -0.521E-02
      0.314E+01      0.759E-02     -0.518E-02
      0.315E+01      0.753E-02     -0.514E-02
      0.317E+01      0.746E-02     -0.511E-02
      0.318E+01      0.740E-02     -0.507E-02
      0.319E+01      0.734E-02     -0.504E-02
      0.320E+01      0.727E-02     -0.500E-02
      0.322E+01      0.721E-02     -0.497E-02
      0.323E+01      0.715E-02     -0.494E-02
      0.324E+01      0.709E-02     -0.490E-02
      0.325E+01      0.703E-02     -0.487E-02
      0.327E+01      0.697E-02     -0.483E-02
      0.328E+01      0.691E-02     -0.480E-02
      0.329E+01      0.685E-02     -0.477E-02
      0.330E+01      0.679E-02     -0.473E-02
      0.332E+01      0.673E-02     -0.470E-02
      0.333E+01      0.667E-02     -0.467E-02
      0.334E+01      0.661E-02     -0.463E-02
      0.335E+01      0.655E-02     -0.460E-02
      0.337E+01      0.650E-02     -0.457E-02
      0.338E+01      0.644E-02     -0.453E-02
      0.339E+01      0.638E-02     -0.450E-02
      0.340E+01      0.633E-02     -0.447E-02
      0.342E+01      0.627E-02     -0.443E-02
      0.343E+01      0.622E-02     -0.440E-02
      0.344E+01      0.616E-02     -0.437E-02
      0.345E+01      0.611E-02     -0.434E-02
      0.347E+01      0.605E-02     -0.431E-02
      0.348E+01      0.600E-02     -0.427E-02
      0.349E+01      0.594E-02     -0.424E-02
      0.350E+01      0.589E-02     -0.421E-02
      0.352E+01      0.584E-02     -0.418E-02
      0.353E+01      0.579E-02     -0.415E-02
      0.354E+01      0.574E-02     -0.412E-02
      0.355E+01      0.568E-02     -0.408E-02
      0.357E+01      0.563E-02     -0.405E-02
      0.358E+01      0.558E-02     -0.402E-02
      0.359E+01      0.553E-02     -0.399E-02
      0.360E+01      0.548E-02     -0.396E-02
      0.362E+01      0.543E-02     -0.393E-02
      0.363E+01      0.538E-02     -0.390E-02
      0.364E+01      0.534E-02     -0.387E-02
      0.365E+01      0.529E-02     -0.384E-02
      0.367E+01      0.524E-02     -0.381E-02
      0.368E+01      0.519E-02     -0.378E-02
      0.369E+01      0.515E-02     -0.375E-02
      0.370E+01      0.510E-02     -0.372E-02
      0.372E+01      0.505E-02     -0.369E-02
      0.373E+01      0.501E-02     -0.366E-02
      0.374E+01      0.496E-02     -0.363E-02
      0.375E+01      0.491E-02     -0.361E-02
      0.377E+01      0.487E-02     -0.358E-02
      0.378E+01      0.483E-02     -0.355E-02
      0.379E+01      0.478E-02     -0.352E-02
      0.380E+01      0.474E-02     -0.349E-02
      0.382E+01      0.469E-02     -0.346E-02
      0.383E+01      0.465E-02     -0.344E-02
      0.384E+01      0.461E-02     -0.341E-02
      0.385E+01      0.457E-02     -0.338E-02
      0.387E+01      0.452E-02     -0.335E-02
      0.388E+01      0.448E-02     -0.333E-02
      0.389E+01      0.444E-02     -0.330E-02
      0.390E+01      0.440E-02     -0.327E-02
      0.392E+01      0.436E-02     -0.325E-02
      0.393E+01      0.432E-02     -0.322E-02
      0.394E+01      0.428E-02     -0.319E-02
      0.395E+01      0.424E-02     -0.317E-02
      0.397E+01      0.420E-02     -0.314E-02
      0.398E+01      0.416E-02     -0.311E-02
      0.399E+01      0.412E-02     -0.309E-02
      0.400E+01      0.408E-02     -0.306E-02
      0.402E+01      0.404E-02     -0.304E-02
      0.403E+01      0.401E-02     -0.301E-02
      0.404E+01      0.397E-02     -0.299E-02
      0.405E+01      0.393E-02     -0.296E-02
      0.407E+01      0.389E-02     -0.294E-02
      0.408E+01      0.386E-02     -0.291E-02
      0.409E+01      0.382E-02     -0.289E-02
      0.410E+01      0.379E-02     -0.286E-02
      0.412E+01      0.375E-02     -0.284E-02
      0.413E+01      0.371E-02     -0.281E-02
      0.414E+01      0.368E-02     -0.279E-02
      0.415E+01      0.364E-02     -0.277E-02
      0.417E+01      0.361E-02     -0.274E-02
      0.418E+01      0.358E-02     -0.272E-02
      0.419E+01      0.354E-02     -0.270E-02
      0.420E+01      0.351E-02     -0.267E-02
      0.422E+01      0.347E-02     -0.265E-02
      0.423E+01      0.344E-02     -0.263E-02
      0.424E+01      0.341E-02     -0.261E-02
      0.425E+01      0.338E-02     -0.258E-02
      0.427E+01      0.334E-02     -0.256E-02
      0.428E+01      0.331E-02     -0.254E-02
      0.429E+01      0.328E-02     -0.252E-02
      0.430E+01      0.325E-02     -0.249E-02
      0.432E+01      0.322E-02     -0.247E-02
      0.433E+01      0.319E-02     -0.245E-02
      0.434E+01      0.316E-02     -0.243E-02
      0.435E+01      0.313E-02     -0.241E-02
      0.437E+01      0.310E-02     -0.239E-02
      0.438E+01      0.307E-02     -0.237E-02
      0.439E+01      0.304E-02     -0.235E-02
      0.440E+01      0.301E-02     -0.233E-02
      0.442E+01      0.298E-02     -0.230E-02
      0.443E+01      0.295E-02     -0.228E-02
      0.444E+01      0.292E-02     -0.226E-02
      0.446E+01      0.289E-02     -0.224E-02
      0.447E+01      0.287E-02     -0.222E-02
      0.448E+01      0.284E-02     -0.220E-02
      0.449E+01      0.281E-02     -0.219E-02
      0.451E+01      0.278E-02     -0.217E-02
      0.452E+01      0.276E-02     -0.215E-02
      0.453E+01      0.273E-02     -0.213E-02
      0.454E+01      0.270E-02     -0.211E-02
      0.456E+01      0.268E-02     -0.209E-02
      0.457E+01      0.265E-02     -0.207E-02
      0.458E+01      0.263E-02     -0.205E-02
      0.459E+01      0.260E-02     -0.203E-02
      0.461E+01      0.257E-02     -0.202E-02
      0.462E+01      0.255E-02     -0.200E-02
      0.463E+01      0.252E-02     -0.198E-02
      0.464E+01      0.250E-02     -0.196E-02
      0.466E+01      0.248E-02     -0.194E-02
      0.467E+01      0.245E-02     -0.193E-02
      0.468E+01      0.243E-02     -0.191E-02
      0.469E+01      0.240E-02     -0.189E-02
      0.471E+01      0.238E-02     -0.187E-02
      0.472E+01      0.236E-02     -0.186E-02
      0.473E+01      0.233E-02     -0.184E-02
      0.474E+01      0.231E-02     -0.182E-02
      0.476E+01      0.229E-02     -0.181E-02
      0.477E+01      0.227E-02     -0.179E-02
      0.478E+01      0.224E-02     -0.177E-02
      0.479E+01      0.222E-02     -0.176E-02
      0.481E+01      0.220E-02     -0.174E-02
      0.482E+01      0.218E-02     -0.173E-02
      0.483E+01      0.216E-02     -0.171E-02
      0.484E+01      0.213E-02     -0.169E-02
      0.486E+01      0.211E-02     -0.168E-02
      0.487E+01      0.209E-02     -0.166E-02
      0.488E+01      0.207E-02     -0.165E-02
      0.489E+01      0.205E-02     -0.163E-02
      0.491E+01      0.203E-02     -0.162E-02
      0.492E+01      0.201E-02     -0.160E-02
      0.493E+01      0.199E-02     -0.159E-02
      0.494E+01      0.197E-02     -0.157E-02
      0.496E+01      0.195E-02     -0.156E-02
      0.497E+01      0.193E-02     -0.154E-02
      0.498E+01      0.191E-02     -0.153E-02
      0.499E+01      0.189E-02     -0.151E-02
      0.501E+01      0.187E-02     -0.150E-02
      0.502E+01      0.186E-02     -0.149E-02
      0.503E+01      0.184E-02     -0.147E-02
      0.504E+01      0.182E-02     -0.146E-02
      0.506E+01      0.180E-02     -0.144E-02
      0.507E+01      0.178E-02     -0.143E-02
      0.508E+01      0.177E-02     -0.142E-02
      0.509E+01      0.175E-02     -0.140E-02
      0.511E+01      0.173E-02     -0.139E-02
      0.512E+01      0.171E-02     -0.138E-02
      0.513E+01      0.170E-02     -0.137E-02
      0.514E+01      0.168E-02     -0.135E-02
      0.516E+01      0.166E-02     -0.134E-02
      0.517E+01      0.165E-02     -0.133E-02
      0.518E+01      0.163E-02     -0.131E-02
      0.519E+01      0.161E-02     -0.130E-02
      0.521E+01      0.160E-02     -0.129E-02
      0.522E+01      0.158E-02     -0.128E-02
      0.523E+01      0.156E-02     -0.127E-02
      0.524E+01      0.155E-02     -0.125E-02
      0.526E+01      0.153E-02     -0.124E-02
      0.527E+01      0.152E-02     -0.123E-02
      0.528E+01      0.150E-02     -0.122E-02
      0.529E+01      0.149E-02     -0.121E-02
      0.531E+01      0.147E-02     -0.119E-02
      0.532E+01      0.146E-02     -0.118E-02
      0.533E+01      0.144E-02     -0.117E-02
      0.534E+01      0.143E-02     -0.116E-02
      0.536E+01      0.141E-02     -0.115E-02
      0.537E+01      0.140E-02     -0.114E-02
      0.538E+01      0.138E-02     -0.113E-02
      0.539E+01      0.137E-02     -0.112E-02
      0.541E+01      0.136E-02     -0.111E-02
      0.542E+01      0.134E-02     -0.110E-02
      0.543E+01      0.133E-02     -0.108E-02
